acanthuridae,perciformes,actinopterygii,chordata,animalia,surgeonfish;tang;unicornfish
accipitridae,accipitriformes,aves,chordata,animalia,kite;hawk;eagle;osprey
agamidae,squamata,reptilia,chordata,animalia,toad
ailuridae,carnivora,mammalia,chordata,animalia,red panda
alcedinidae,bucerotiformes,aves,chordata,animalia,kingfishers
alcidae,charadriiformes,aves,chordata,animalia,auk
alligatoridae,crocodilia,reptilia,chordata,animalia,alligator;caiman
ambystomatidae,urodela,amphibia,chordata,animalia,mole salamander
anatidae,anseriformes,aves,chordata,animalia,duck;goose;swan
anguidae,squamata,reptilia,chordata,animalia,galliwasp
anhimidae,anseriformes,aves,chordata,animalia,screamer
anseranatidae,anseriformes,aves,chordata,animalia,magpie-goose
antilocapridae,artiodactyla,mammalia,chordata,animalia,pronghorn
apidae,hymenoptera,insecta,arthropoda,animalia,bees
apterygidae,apterygiformes,aves,chordata,animalia,kiwi
ardeidae,ciconiiformes,aves,chordata,animalia,heron
artamidae,passeriformes,aves,chordata,animalia,woodswallow
atelidae,primates,mammalia,chordata,animalia,new world monkey
balaenicipitidae,pelecaniformes,aves,chordata,animalia,shoebill
balistidae,tetraodontiformes,actinopterygii,chordata,animalia,triggerfish
bathyergidae,rodentia,mammalia,chordata,animalia,mole-rat
blaberidae,blattodea,insecta,arthropoda,animalia,giant cockroaches
boidae,squamata,reptilia,chordata,animalia,boa
bombinatoridae,anura,amphibia,chordata,animalia,fire-bellied toad
bovidae,artiodactyla,mammalia,chordata,animalia,antelope;cattle;gazelle;goat;sheep
bucerotidae,bucerotiformes,aves,chordata,animalia,hornbill
bufonidae,anura,amphibia,chordata,animalia,frog;toad
burhinidae,charadriiformes,aves,chordata,animalia,stone-curlew;dikkop;thick-knee
cacatuidae,psittaciformes,aves,chordata,animalia,cockatoo
callitrichidae,primates,mammalia,chordata,animalia,new world monkey
camelidae,artiodactyla,mammalia,chordata,animalia,guanaco
canidae,carnivora,mammalia,chordata,animalia,dog;wolf;fox;jackal;dingo
carangidae,perciformes,actinopterygii,chordata,animalia,jack;pompano;jack mackerel;runner;scad
carcharhinidae,carcharhiniformes,chondrichthyes,chordata,animalia,requiem shark
cardinalidae,passeriformes,aves,chordata,animalia,grosbeak
carettochelyidae,testudines,reptilia,chordata,animalia,turtle
cariamidae,cariamiformes,aves,chordata,animalia,seriema
carphodactylidae,squamata,reptilia,chordata,animalia,gecko
castoridae,rodentia,mammalia,chordata,animalia,beaver
casuariidae,casuariiformes,aves,chordata,animalia,cassowary
cathartidae,cathartiformes,aves,chordata,animalia,new world vulture
caviidae,rodentia,mammalia,chordata,animalia,cavy
cebidae,primates,mammalia,chordata,animalia,capuchin monkey;squirrel monkey
centrarchidae,perciformes,actinopterygii,chordata,animalia,sunfish
centropomidae,perciformes,actinopterygii,chordata,animalia,snook;robalo
ceratophryidae,anura,amphibia,chordata,animalia,common horned frog
cercopithecidae,primates,mammalia,chordata,animalia,old world monkey
cervidae,artiodactyla,mammalia,chordata,animalia,deer
chaetodontidae,perciformes,actinopterygii,chordata,animalia,butterflyfish
chamaeleonidae,squamata,reptilia,chordata,animalia,chameleon
charadriidae,charadriiformes,aves,chordata,animalia,plover;dotterel;lapwing
chelidae,testudines,reptilia,chordata,animalia,matamata
